
Summary,JAM
Emissions
,CO2e,0
,Health,6.01147
,CO2e_sources,0
,CO2e_LULUCF,0
,CO2e_DE,0
,CO2e_PP,0
,CONVAR,0
,CONHICK,0
,REHAB,0
,CO2e_TRN,0

Cost,60139.9

TID Demand

,JAM
Fuel,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
E5TRMBS,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRBPU,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRYTK,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRYLF,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRMAR,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRMAMFRE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRAV,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E6TDPASPRI,All,8.5024,9.1986,9.6278,9.8126,10.0026,10.1952,10.3878,10.5804,10.773,10.9656,11.1803,11.395,11.6097,11.8245,12.0392,12.3017,12.5642,12.8267,13.0891,13.3516,13.6611,13.9705,14.28,14.5894,14.8988,15.2423,15.5857,15.9291,16.2725,16.616,16.9667,17.3247,17.6904,18.0637,18.445
E6TDPASPUB,All,0.8046,0.8705,0.9111,0.9286,0.9466,0.9648,0.983,1.0012,1.0195,1.0377,1.058,1.0783,1.0986,1.119,1.1393,1.1641,1.189,1.2138,1.2386,1.2635,1.2928,1.322,1.3513,1.3806,1.4099,1.4424,1.4749,1.5074,1.5399,1.5724,1.6056,1.6395,1.6741,1.7094,1.7455
E6TDFREHEA,All,13.3641,14.4584,15.133,15.4234,15.7221,16.0248,16.3275,16.6303,16.933,17.2357,17.5732,17.9107,18.2482,18.5857,18.9232,19.3357,19.7483,20.1609,20.5735,20.9861,21.4725,21.9588,22.4452,22.9316,23.418,23.9578,24.4976,25.0374,25.5772,26.117,26.6682,27.231,27.8057,28.3925,28.9918
E6TDFRELIG,All,0.8249,0.8925,0.9341,0.9521,0.9705,0.9892,1.0079,1.0266,1.0452,1.0639,1.0848,1.1056,1.1264,1.1473,1.1681,1.1936,1.219,1.2445,1.27,1.2954,1.3255,1.3555,1.3855,1.4155,1.4456,1.4789,1.5122,1.5455,1.5788,1.6122,1.6462,1.6809,1.7164,1.7526,1.7896
E6TDPASMAR,All,1.0819,1.1705,1.2251,1.2486,1.2728,1.2973,1.3218,1.3463,1.3708,1.3953,1.4226,1.45,1.4773,1.5046,1.5319,1.5653,1.5987,1.6321,1.6655,1.6989,1.7383,1.7777,1.817,1.8564,1.8958,1.9395,1.9832,2.0269,2.0706,2.1143,2.1589,2.2045,2.251,2.2985,2.347
E6TDFREMAM,All,1.0819,1.1705,1.2251,1.2486,1.2728,1.2973,1.3218,1.3463,1.3708,1.3953,1.4226,1.45,1.4773,1.5046,1.5319,1.5653,1.5987,1.6321,1.6655,1.6989,1.7383,1.7777,1.817,1.8564,1.8958,1.9395,1.9832,2.0269,2.0706,2.1143,2.1589,2.2045,2.251,2.2985,2.347
E6TDPASAVI,All,1.0819,1.1705,1.2251,1.2486,1.2728,1.2973,1.3218,1.3463,1.3708,1.3953,1.4226,1.45,1.4773,1.5046,1.5319,1.5653,1.5987,1.6321,1.6655,1.6989,1.7383,1.7777,1.817,1.8564,1.8958,1.9395,1.9832,2.0269,2.0706,2.1143,2.1589,2.2045,2.251,2.2985,2.347
E6TRNOMOT,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Time Dependent Production (Energy Units) Test

,JAM
Fuel,Timeslice,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
E1DSL,All,9.3253,10.0885,10.5588,10.7627,10.9708,11.1397,11.3068,11.4703,11.6369,11.8047,11.995,12.1822,12.3686,12.5535,12.7367,12.9687,13.2281,13.4568,13.6841,13.9087,14.2692,14.6282,14.9909,15.3619,15.7446,16.1646,16.5856,17.0108,17.4394,17.8695,18.247,18.6318,19.0253,19.4261,19.8361
E1GSL,All,20.8665,22.5761,23.6297,24.0827,24.5492,24.9251,25.2997,25.6716,26.0355,26.3928,26.7861,27.1747,27.5578,27.9373,28.3112,28.7926,29.2383,29.7065,30.1704,30.6268,31.2802,31.931,32.5785,33.2244,33.8667,34.5836,35.2982,36.0096,36.7177,37.4241,38.2142,39.0205,39.8441,40.6844,41.5441
E1LPG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1FO1,All,1.36212,1.47369,1.54241,1.57191,1.60243,1.64656,1.6912,1.73639,1.78201,1.82814,1.87843,1.92947,1.98102,2.03298,2.08562,2.14709,2.2093,2.27224,2.33572,2.40002,2.446,2.49172,2.53676,2.58142,2.6257,2.67554,2.7249,2.77371,2.82205,2.86992,2.93047,2.99235,3.05547,3.11997,3.18579
E1KER,All,1.0819,1.1705,1.2251,1.2486,1.2728,1.2973,1.3218,1.3463,1.3708,1.3953,1.4226,1.45,1.4773,1.5046,1.5319,1.5653,1.5987,1.6321,1.6655,1.6989,1.7383,1.7777,1.817,1.8564,1.8958,1.9395,1.9832,2.0269,2.0706,2.1143,2.1589,2.2045,2.251,2.2985,2.347
E1ELE,All,0,0,0,0,0,0.0082476,0.0160812,0.0247572,0.0336384,0.0428292,0.0546444,0.0668484,0.0794412,0.0923508,0.106078,0.120082,0.134982,0.150318,0.166043,0.182855,0.199958,0.218221,0.23746,0.256594,0.276386,0.29767,0.319493,0.34245,0.365414,0.389434,0.3978,0.406325,0.414508,0.423382,0.432263
E1BIM,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1BGS,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2ELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2HYDG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3ELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3HYD,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5OTHDSL,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5OTHGSL,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5OTHLPG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5OTHELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5OTHHYD,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5OTHKER,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5OTHBIM,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
