
Summary,CR
Emissions
,BC_PWR,0.00326086
,BC_DE,0.0888353
,CH4_PWR,0.00179269
,N2O_TRN,0.0107643
,CO2_PWR,11.9052
,CO2e_TRN,152.249
,CH4_TRN,0.0393436
,CO2_DE,53.4422
,CH4_DE,0.0218533
,CO2e_PWR,12.0249
,BC_TRN,0.0212913
,N2O_PWR,0.000262442
,N2O_DE,0.0028052
,CO2e_DE,54.7948
,CO2_TRN,147.635

Cost,87023.5

TID Demand

,CR
Fuel,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
DEMTRNFRELIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DEMTRNNOMOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E5COMFIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E0_AVG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E5TMADSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E5TAEAVG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E5TAEJTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E5TOTGSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E4NGS_HEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time Dependent Demand (Energy Units)

,CR
Fuel,Timeslice,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E1_PURDSL,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_PURGSL,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0_COA,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_LPG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_FOI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0_FIR,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_KJF,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_COK,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0_WAS,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0_NGS,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0_SUG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0_BMS,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_ELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2_ELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_ELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4_ELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_NGS,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2_HYD,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_BIODSL,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_DSL,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_ETA,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_GSL,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_HYD,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2ELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5AGRPURDSL,All,1.694,1.16264,1.20547,1.22966,1.25224,1.27387,1.29004,1.30521,1.31928,1.33195,1.34316,1.3534,1.3631,1.37276,1.38196,1.39063,1.39842,1.40527,1.41144,1.41662,1.42097,1.42428,1.42674,1.42792,1.42774,1.42601,1.42289,1.41812,1.41175,1.40371
E5AGRDSL,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5AGRELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5AGRPURGSL,All,0.319,0.311928,0.323419,0.32991,0.335967,0.341771,0.34611,0.350178,0.353955,0.357353,0.360361,0.363109,0.365711,0.368302,0.370771,0.373097,0.375186,0.377026,0.378681,0.380071,0.381236,0.382124,0.382785,0.383101,0.383054,0.382588,0.381751,0.380471,0.378764,0.376606
E5AGRKJF,All,0.278,0.17112,0.177423,0.180985,0.184308,0.187491,0.189872,0.192103,0.194175,0.196039,0.19769,0.199197,0.200624,0.202046,0.2034,0.204676,0.205822,0.206831,0.20774,0.208502,0.209141,0.209628,0.209991,0.210164,0.210139,0.209883,0.209424,0.208722,0.207785,0.206601
E5AGRLPG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5COMPURDSL,All,0.749,0.40633,0.420714,0.437283,0.453884,0.470765,0.479949,0.488616,0.496714,0.504042,0.510561,0.516544,0.522231,0.527914,0.533353,0.538493,0.543126,0.547219,0.550911,0.554017,0.556627,0.558618,0.560104,0.560814,0.561526,0.562238,0.562951,0.563665,0.564379,0.565095
E5COMELE,All,13.501,11.923,12.3522,12.871,13.321,13.6976,14.0742,14.4507,14.8273,15.2039,15.5004,15.7968,16.0933,16.3897,16.6862,16.9827,17.2791,17.5756,17.872,18.1685,18.6333,19.0981,19.5629,20.0277,20.4926,20.9574,21.4222,21.887,22.3518,22.8166
E5COMFOI,All,0.2,0.15416,0.159617,0.165903,0.172202,0.178606,0.182091,0.185379,0.188451,0.191231,0.193705,0.195975,0.198132,0.200289,0.202352,0.204302,0.20606,0.207613,0.209013,0.210192,0.211182,0.211938,0.212501,0.212771,0.213041,0.213311,0.213581,0.213852,0.214123,0.214395
E5COMPURGSL,All,0.001,0.0008,0.000828319,0.000860941,0.000893626,0.000926863,0.000944945,0.000962009,0.000977953,0.000992379,0.00100521,0.00101699,0.00102819,0.00103938,0.00105009,0.00106021,0.00106933,0.00107739,0.00108466,0.00109077,0.00109591,0.00109983,0.00110276,0.00110416,0.00110556,0.00110696,0.00110836,0.00110977,0.00111117,0.00111258
E5COMLPG,All,1.584,1.75654,1.81872,1.89035,1.96211,2.03509,2.07479,2.11226,2.14727,2.17894,2.20712,2.23299,2.25757,2.28214,2.30565,2.32787,2.3479,2.36559,2.38155,2.39498,2.40626,2.41487,2.42129,2.42436,2.42744,2.43052,2.4336,2.43669,2.43978,2.44287
E5INDPURDSL,All,2.346,2.3338,2.5298,2.6678,2.7805,2.7631,2.7457,2.7282,2.7108,2.6934,2.6757,2.658,2.6404,2.6227,2.605,2.5873,2.5697,2.552,2.5343,2.5166,2.5243,2.532,2.5397,2.5474,2.5551,2.5628,2.5705,2.5781,2.5858,2.5935
E5INDDSL,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5INDELE,All,7.339,11.1952,11.5983,12.0854,12.5079,12.7598,13.0117,13.2637,13.5156,13.7675,14.0282,14.2889,14.5496,14.8104,15.0711,15.3318,15.5925,15.8532,16.1139,16.3747,16.8111,17.2475,17.684,18.1204,18.5569,18.9933,19.4297,19.8662,20.3026,20.7391
E5INDFOI,All,3.843,3.18,3.4471,3.6352,3.7887,3.7477,3.7067,3.6657,3.6247,3.5836,3.5596,3.5355,3.5114,3.4873,3.4632,3.4391,3.415,3.391,3.3669,3.3428,3.3533,3.3637,3.3742,3.3847,3.3952,3.4057,3.4161,3.4266,3.4371,3.4476
E5INDPURGSL,All,0.002,0.0011,0.0012,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
